gname,iyear,country,attacktype1,weaptype1,targtype1
Neo-Nazi extremists,1991,75,7,8,19
Neo-Nazi extremists,1991,75,7,8,1
First of October Antifascist Resistance Group (GRAPO),1991,185,3,6,19
Dev Sol,1991,209,3,6,22
Shining Path (SL),1991,159,1,5,3
Basque Fatherland and Freedom (ETA),1991,185,1,6,3
Dev Sol,1991,209,1,5,22
Dev Sol,1991,209,2,5,4
Shining Path (SL),1991,159,3,6,14
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Neo-Nazi extremists,1991,75,9,13,14
Revolutionary Armed Forces of Colombia (FARC),1991,45,6,5,2
Kurdistan Workers' Party (PKK),1991,209,6,5,15
Muslim Fundamentalists,1991,110,3,6,14
Protestant extremists,1991,603,1,6,2
Shining Path (SL),1991,159,2,5,17
Shining Path (SL),1991,159,2,5,17
Shining Path (SL),1991,159,1,5,1
New People's Army (NPA),1991,160,1,5,3
New People's Army (NPA),1991,160,1,5,2
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Irish Republican Army (IRA),1991,603,3,6,3
New People's Army (NPA),1991,160,2,5,4
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Sikh Extremists,1991,92,7,8,1
Hezbollah,1991,110,3,6,4
Inkatha Freedom Party (IFP),1991,183,2,5,14
Tupac Amaru Revolutionary Movement (MRTA),1991,159,2,5,17
New People's Army (NPA),1991,160,2,5,4
New People's Army (NPA),1991,160,2,5,4
Palestinians,1991,97,3,6,14
Irish Republican Army (IRA),1991,603,1,6,14
Shining Path (SL),1991,159,1,5,2
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Kurdistan Workers' Party (PKK),1991,209,2,5,3
Irish Republican Army (IRA),1991,603,3,6,1
Hezbollah,1991,110,3,6,4
Neo-Nazi extremists,1991,75,9,13,14
Shining Path (SL),1991,159,1,5,2
Pirates,1991,37,2,5,11
National Liberation Army of Colombia (ELN),1991,45,2,5,14
Revolutionary Armed Forces of Colombia (FARC),1991,45,2,5,14
Revolutionary Armed Forces of Colombia (FARC),1991,45,2,5,4
Revolutionary Armed Forces of Colombia (FARC),1991,45,2,5,3
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,14
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,14
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,14
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,14
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Inkatha Freedom Party (IFP),1991,183,2,5,19
Kurdistan Workers' Party (PKK),1991,209,2,5,3
National Liberation Army of Colombia (ELN),1991,45,3,6,21
National Liberation Army of Colombia (ELN),1991,45,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,19
Iparretarrak (IK),1991,69,3,6,1
Shining Path (SL),1991,159,3,6,8
Shining Path (SL),1991,159,3,6,19
Shining Path (SL),1991,159,3,6,14
Shining Path (SL),1991,159,3,6,8
Basque Fatherland and Freedom (ETA),1991,185,3,6,3
Shining Path (SL),1991,159,1,5,2
Basque Fatherland and Freedom (ETA),1991,185,1,5,3
Karen Insurgents,1991,138,2,5,4
Inkatha Freedom Party (IFP),1991,183,2,5,19
Kurdistan Workers' Party (PKK),1991,209,2,5,19
Kurdistan Workers' Party (PKK),1991,209,3,6,19
National Liberation Army of Colombia (ELN),1991,45,3,6,1
National Liberation Army of Colombia (ELN),1991,45,2,8,14
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,19
Shining Path (SL),1991,159,3,6,2
Revolutionary Armed Forces of Colombia (FARC),1991,45,2,5,4
National Liberation Army of Colombia (ELN),1991,45,3,5,3
Revolutionary Armed Forces of Colombia (FARC),1991,45,2,5,4
National Liberation Army of Colombia (ELN),1991,45,2,5,4
Revolutionary Armed Forces of Colombia (FARC),1991,45,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Anti-Government Demonstrators,1991,119,9,13,4
Tupac Amaru Revolutionary Movement (MRTA),1991,159,2,5,4
Shining Path (SL),1991,159,2,5,4
Shining Path (SL),1991,159,2,5,4
Kurdistan Workers' Party (PKK),1991,209,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Palestinians,1991,155,2,8,4
New People's Army (NPA),1991,160,3,6,2
New People's Army (NPA),1991,160,3,6,3
New People's Army (NPA),1991,160,3,6,3
New People's Army (NPA),1991,160,3,6,21
New People's Army (NPA),1991,160,3,6,21
New People's Army (NPA),1991,160,3,6,21
New People's Army (NPA),1991,160,3,6,21
New People's Army (NPA),1991,160,3,6,21
New People's Army (NPA),1991,160,3,6,21
New People's Army (NPA),1991,160,3,6,21
New People's Army (NPA),1991,160,3,6,21
Ulster Volunteer Force (UVF),1991,603,1,5,14
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Palestinians,1991,155,3,6,4
New People's Army (NPA),1991,160,2,5,21
Liberation Tigers of Tamil Eelam (LTTE),1991,186,2,5,4
Liberation Tigers of Tamil Eelam (LTTE),1991,186,2,5,14
Simon Bolivar Guerrilla Coordinating Board (CGSB),1991,45,3,6,4
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Sikh Extremists,1991,92,1,5,2
Protestant extremists,1991,603,1,5,14
Shining Path (SL),1991,159,2,5,14
Shining Path (SL),1991,159,1,5,14
Revolutionary Armed Forces of Colombia (FARC),1991,45,2,5,3
Revolutionary Armed Forces of Colombia (FARC),1991,45,2,5,4
Kach,1991,97,7,8,2
Palestinians,1991,97,3,6,14
Shining Path (SL),1991,159,1,5,10
Revolutionary Armed Forces of Colombia (FARC),1991,59,4,5,6
Narco-Terrorists,1991,159,4,5,6
Awami League,1991,19,2,5,2
Revolutionary Armed Forces of Colombia (FARC),1991,45,2,5,2
Mozambique National Resistance Movement (MNR),1991,137,2,5,2
Dev Sol,1991,209,2,5,3
Palestinians,1991,155,8,9,4
Palestinians,1991,155,2,5,19
All Burma Students' Democratic Front (ABSDF),1991,138,3,6,2
Kurdistan Workers' Party (PKK),1991,209,2,5,14
Kurdistan Workers' Party (PKK),1991,209,6,5,14
Kach,1991,97,7,8,7
Hezbollah,1991,110,3,6,4
Kurdistan Workers' Party (PKK),1991,209,3,6,1
Kurdistan Workers' Party (PKK),1991,209,3,6,1
Kurdistan Workers' Party (PKK),1991,209,3,6,1
Kurdistan Workers' Party (PKK),1991,209,3,6,1
Kurdistan Workers' Party (PKK),1991,209,3,6,2
Palestinians,1991,155,1,5,14
Revolutionary Armed Forces of Colombia (FARC),1991,45,2,5,3
National Liberation Army of Colombia (ELN),1991,45,2,5,4
Abu Nidal Organization (ANO),1991,110,3,6,7
Liberation Tigers of Tamil Eelam (LTTE),1991,186,2,5,4
Liberation Tigers of Tamil Eelam (LTTE),1991,186,2,5,4
Liberation Tigers of Tamil Eelam (LTTE),1991,186,2,5,4
Death Squad,1991,45,1,5,2
Death Squad,1991,45,1,5,2
Dacoits,1991,153,2,5,19
Kurdistan Workers' Party (PKK),1991,209,2,5,4
Corsican National Liberation Front (FLNC),1991,69,3,6,1
Kurdistan Workers' Party (PKK),1991,209,2,8,2
Sikh Extremists,1991,92,1,5,14
Sikh Extremists,1991,92,1,5,14
Sikh Extremists,1991,92,1,5,14
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Hindu extremists,1991,92,7,13,15
Tuareg Guerrillas,1991,123,3,6,14
Shining Path (SL),1991,159,1,5,4
Shining Path (SL),1991,159,1,5,2
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Palestinians,1991,97,2,5,14
Shining Path (SL),1991,159,2,5,4
Shining Path (SL),1991,159,2,5,3
Bodo Militants,1991,92,3,6,3
Irish Republican Army (IRA),1991,603,3,6,1
Bodo Militants,1991,92,1,9,14
Al-Adl Wal Ihsane,1991,136,1,9,2
Al-Adl Wal Ihsane,1991,136,1,9,2
Al-Adl Wal Ihsane,1991,136,1,9,2
Pirates,1991,19,2,5,11
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
November 17 Revolutionary Organization (N17RO),1991,78,3,6,3
Dacoits,1991,153,2,5,14
Shining Path (SL),1991,159,2,5,14
Liberation Tigers of Tamil Eelam (LTTE),1991,186,2,5,4
Kurdistan Workers' Party (PKK),1991,209,2,5,4
Shining Path (SL),1991,159,3,6,21
Shining Path (SL),1991,159,3,6,21
Shining Path (SL),1991,159,3,6,21
Liberation Tigers of Tamil Eelam (LTTE),1991,186,3,6,22
Shining Path (SL),1991,159,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Shining Path (SL),1991,159,2,5,14
Shining Path (SL),1991,159,2,5,14
Tupac Amaru Revolutionary Movement (MRTA),1991,159,5,5,10
Liberation Tigers of Tamil Eelam (LTTE),1991,186,2,5,4
Kurdistan Workers' Party (PKK),1991,209,2,5,14
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,21
Shining Path (SL),1991,159,3,6,21
Shining Path (SL),1991,159,3,6,21
Tupac Amaru Revolutionary Movement (MRTA),1991,159,3,6,2
Tupac Amaru Revolutionary Movement (MRTA),1991,159,3,6,14
Tupac Amaru Revolutionary Movement (MRTA),1991,159,3,6,1
Tupac Amaru Revolutionary Movement (MRTA),1991,159,3,6,1
Tupac Amaru Revolutionary Movement (MRTA),1991,159,3,6,6
Tupac Amaru Revolutionary Movement (MRTA),1991,159,3,6,1
Sikh Extremists,1991,92,1,5,22
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Shining Path (SL),1991,159,2,5,14
Shining Path (SL),1991,159,2,5,8
Kurdistan Workers' Party (PKK),1991,209,2,5,3
Shining Path (SL),1991,159,6,5,1
Death Squad,1991,159,6,5,14
Palestinians,1991,155,7,8,4
Palestinians,1991,155,7,8,4
Palestinians,1991,155,2,8,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,14
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Tupac Amaru Revolutionary Movement (MRTA),1991,159,3,6,2
Palestinians,1991,155,1,9,14
Manuel Rodriguez Patriotic Front (FPMR),1991,43,3,6,8
Farabundo Marti National Liberation Front (FMLN),1991,61,3,6,4
Hezbollah,1991,110,3,6,4
Palestinians,1991,97,1,9,4
Shining Path (SL),1991,159,1,5,14
Shining Path (SL),1991,159,1,5,2
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Palestinians,1991,155,2,8,14
Palestinians,1991,97,8,9,4
Irish Republican Army (IRA),1991,603,3,6,4
Democratic Revolutionary Alliance (ARDE),1991,145,3,6,14
Protestant extremists,1991,603,1,5,17
Drug-Related Terrorists,1991,87,4,13,11
Recontras,1991,145,2,5,2
Recontras,1991,145,2,5,1
Shining Path (SL),1991,159,2,5,4
Recontras,1991,145,3,6,14
Kurdish Militants,1991,151,7,8,7
Shining Path (SL),1991,159,1,5,2
Shining Path (SL),1991,159,1,5,2
Recontras,1991,145,9,13,14
Kurdistan Workers' Party (PKK),1991,209,2,5,4
Left-Wing Terrorists,1991,75,7,8,2
Sandinistas,1991,145,7,8,2
Sandinistas,1991,145,7,8,2
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
Sikh Extremists,1991,92,2,5,15
Tuareg extremists,1991,123,2,5,4
Sandinistas,1991,145,2,5,10
Sandinistas,1991,145,7,5,10
Sandinistas,1991,145,2,5,10
Corsican National Liberation Front (FLNC),1991,69,3,6,14
Karen National Union,1991,138,3,6,19
Sandinistas,1991,145,3,6,14
Sandinistas,1991,145,3,6,2
Sandinistas,1991,145,3,6,7
Bangladesh Nationalist Party (BNP),1991,19,2,5,2
Farabundo Marti National Liberation Front (FMLN),1991,61,2,5,4
People's War Group (PWG),1991,92,3,6,3
Karen National Union,1991,138,3,6,19
Sandinistas,1991,145,7,5,14
Shining Path (SL),1991,159,2,5,14
Kurdish Separatists,1991,55,7,8,6
Kurdistan Workers' Party (PKK),1991,209,1,5,4
Anti-Government Group,1991,19,2,5,8
Opposition Group,1991,19,2,5,8
Palestinians,1991,97,2,5,4
Mozambique National Resistance Movement (MNR),1991,137,2,5,6
Recontras,1991,145,2,5,14
Recontras,1991,145,2,5,14
Kurdish Militants,1991,209,7,8,1
Kurdish Militants,1991,209,7,8,1
Kurdish Militants,1991,209,9,13,1
Hezbollah,1991,110,3,6,17
Irish Republican Army (IRA),1991,603,1,5,14
Irish Republican Army (IRA),1991,603,1,5,14
Irish Republican Army (IRA),1991,603,1,6,14
Hindu extremists,1991,92,2,5,14
Liberation Tigers of Tamil Eelam (LTTE),1991,186,6,5,1
Shanti Bahini - Peace Force,1991,19,2,5,14
Protestant extremists,1991,603,1,5,14
Protestant extremists,1991,603,1,5,14
Neo-Nazi extremists,1991,75,2,9,14
Neo-Nazi extremists,1991,75,2,5,14
Tuareg extremists,1991,123,2,5,2
Student Demonstrators,1991,184,6,13,3
National Liberation Army of Colombia (ELN),1991,45,3,6,1
National Liberation Army of Colombia (ELN),1991,45,3,6,1
Sikh Extremists,1991,92,3,6,2
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Shining Path (SL),1991,159,3,6,21
Shining Path (SL),1991,159,3,6,21
Shining Path (SL),1991,159,3,6,21
Death Squad,1991,45,1,5,14
Sikh Extremists,1991,92,1,6,22
Shining Path (SL),1991,159,1,6,2
Shining Path (SL),1991,159,1,5,2
Palestinians,1991,155,2,8,4
Mozambique National Resistance Movement (MNR),1991,137,2,5,1
Mozambique National Resistance Movement (MNR),1991,137,2,5,1
Shining Path (SL),1991,159,2,5,3
Corsican National Liberation Front (FLNC),1991,69,3,6,1
Palestinians,1991,155,2,8,4
Palestinians,1991,155,2,8,4
Palestinians,1991,155,2,8,4
Palestinians,1991,155,7,8,4
Palestinians,1991,155,7,8,4
Palestinians,1991,155,7,8,4
Palestinians,1991,155,7,8,4
Basque Fatherland and Freedom (ETA),1991,185,3,6,1
Popular Militia (Colombia),1991,45,1,5,3
Sikh Extremists,1991,92,2,5,14
Sikh Extremists,1991,92,1,5,14
Palestinians,1991,155,8,9,4
Shining Path (SL),1991,159,2,5,3
Shining Path (SL),1991,159,3,6,3
Kurdistan Workers' Party (PKK),1991,209,1,5,8
Kurdistan Workers' Party (PKK),1991,209,1,5,3
Left-Wing Terrorists,1991,75,8,9,14
Free Aceh Movement (GAM),1991,93,2,5,4
Mozambique National Resistance Movement (MNR),1991,137,2,5,14
Mozambique National Resistance Movement (MNR),1991,137,2,5,14
Recontras,1991,145,2,5,3
Kurdistan Workers' Party (PKK),1991,209,2,5,8
Kurdistan Workers' Party (PKK),1991,209,2,5,3
Kurdistan Workers' Party (PKK),1991,209,2,5,2
Kurdistan Workers' Party (PKK),1991,209,2,5,3
Kurdistan Workers' Party (PKK),1991,209,2,5,3
Anti-Abortion extremists,1991,217,7,8,5
National Liberation Army of Colombia (ELN),1991,45,3,6,21
Recontras,1991,145,1,5,4
Revolutionary Armed Forces of Colombia (FARC),1991,45,2,5,14
Revolutionary Armed Forces of Colombia (FARC),1991,45,2,5,3
Revolutionary Armed Forces of Colombia (FARC),1991,45,2,5,3
Islamist extremists,1991,60,2,5,3
Amal,1991,110,2,6,17
Iparretarrak (IK),1991,69,3,6,1
Mafia,1991,98,3,6,2
Tupac Amaru Revolutionary Movement (MRTA),1991,159,3,6,19
Basque Fatherland and Freedom (ETA),1991,185,2,5,3
Mozambique National Resistance Movement (MNR),1991,137,2,5,2
Recontras,1991,145,3,5,2
Shining Path (SL),1991,159,2,5,14
Tupac Amaru Revolutionary Movement (MRTA),1991,159,3,6,2
Liberation Tigers of Tamil Eelam (LTTE),1991,186,2,5,4
Sudan People's Liberation Army (SPLA),1991,195,3,6,14
Gracchus Babeuf,1991,69,3,6,10
Gracchus Babeuf,1991,69,3,6,2
Palestinians,1991,97,3,6,14
United Popular Action Movement,1991,43,2,5,2
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Patriotic Morazanista Front (FPM),1991,88,1,13,1
Dev Sol,1991,209,1,5,3
Lebanese National Resistance Front,1991,110,3,6,4
Black Hand (Colombia),1991,45,2,5,14
Anti-Government Guerrillas,1991,34,3,5,3
Turkish Communist Party/Marxist (TKP-ML),1991,209,2,5,3
Dacoits,1991,153,6,5,19
Popular Liberation Army (EPL),1991,45,6,5,1
Irish Republican Army (IRA),1991,603,3,6,3
Kurdistan Workers' Party (PKK),1991,209,7,8,1
Turkish Communist Party/Marxist (TKP-ML),1991,209,7,8,2
Protestant extremists,1991,603,1,13,14
Palestinians,1991,97,1,9,1
Muslim Brotherhood,1991,60,2,5,17
Dacoits,1991,153,2,5,1
Kurdistan Workers' Party (PKK),1991,209,2,5,4
Azerbaijan Guerrillas,1991,16,2,5,4
National Liberation Army of Colombia (ELN),1991,45,3,6,21
Basque Fatherland and Freedom (ETA),1991,185,1,5,14
Sudan People's Liberation Army (SPLA),1991,195,3,6,14
Kurdistan Workers' Party (PKK),1991,209,2,5,14
Kurdistan Workers' Party (PKK),1991,209,2,5,4
Hezbollah,1991,110,3,6,4
Animal Rights extremists,1991,603,7,8,1
Tutsi,1991,34,2,5,14
Tutsi,1991,34,2,5,14
Tutsi,1991,34,2,5,14
Tutsi,1991,34,2,9,14
Tutsi,1991,34,2,5,4
Tutsi,1991,34,2,5,4
Revolutionary Armed Forces of Colombia (FARC),1991,45,3,5,3
Black Panther Group (Palestinian),1991,155,2,5,4
Dev Sol,1991,209,2,5,3
Irish Republican Army (IRA),1991,603,6,5,1
Shining Path (SL),1991,159,3,6,9
Irish National Liberation Army (INLA),1991,603,6,5,2
Irish Republican Army (IRA),1991,603,3,6,2
Irish Republican Army (IRA),1991,603,3,6,14
Shining Path (SL),1991,159,3,6,7
Shining Path (SL),1991,159,3,6,21
Shining Path (SL),1991,159,3,6,21
Shining Path (SL),1991,159,3,6,21
Shining Path (SL),1991,159,3,6,21
Shining Path (SL),1991,159,3,6,21
Shining Path (SL),1991,159,3,6,21
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Shining Path (SL),1991,159,3,6,1
Islamist extremists,1991,6,1,5,3
Death Squad,1991,45,1,5,2
Neo-Nazi extremists,1991,75,1,13,18
United Popular Action Movement,1991,43,3,5,3
Student Demonstrators,1991,222,2,5,3
20 December Movement (M-20),1991,156,3,6,2
Liberation Tigers of Tamil Eelam (LTTE),1991,186,2,5,4
Liberation Tigers of Tamil Eelam (LTTE),1991,186,2,5,4
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Palestinians,1991,97,1,5,14
Neo-Nazi extremists,1991,198,9,13,3
Armenian Secret Army for the Liberation of Armenia,1991,90,1,5,7
Tupac Katari Guerrilla Army (EGTK),1991,26,3,6,2
Irish Republican Army (IRA),1991,603,3,6,1
Irish Republican Army (IRA),1991,603,3,6,1
Irish Republican Army (IRA),1991,603,3,6,1
Irish Republican Army (IRA),1991,603,3,6,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Hezbollah,1991,110,3,6,17
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Mozambique National Resistance Movement (MNR),1991,137,2,9,14
Sikh Extremists,1991,92,3,6,3
Palestinians,1991,155,2,5,14
Irish Republican Army (IRA),1991,603,7,8,1
Patriotic Morazanista Front (FPM),1991,88,3,6,1
National Liberation Army of Colombia (ELN),1991,45,3,6,21
Recontras,1991,145,2,5,2
African National Congress (South Africa),1991,183,2,5,22
Rebel Military Unit,1991,204,2,5,2
National Liberation Army of Colombia (ELN),1991,45,3,6,21
Irish Republican Army (IRA),1991,603,3,6,1
Sikh Extremists,1991,92,2,5,14
Sikh Extremists,1991,92,2,5,14
Sikh Extremists,1991,92,2,5,19
Sikh Extremists,1991,92,2,5,14
Sikh Extremists,1991,92,1,5,1
Tuareg extremists,1991,123,2,5,14
Palestinians,1991,97,3,6,4
Sikh Extremists,1991,92,2,5,14
Awami League,1991,19,9,13,2
Kurdistan Workers' Party (PKK),1991,209,2,5,3
Kurdistan Workers' Party (PKK),1991,209,2,5,3
National Union for the Total Independence of Angola (UNITA),1991,8,2,5,3
Anti-United States extremists,1991,101,7,8,4
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Irish Republican Army (IRA),1991,603,7,8,1
Jamaat-E-Islami (Bangladesh),1991,19,1,5,2
Bangladesh Nationalist Party (BNP),1991,19,3,5,22
November 17 Revolutionary Organization (N17RO),1991,78,3,6,1
Guatemalan National Revolutionary Unity (URNG),1991,83,6,5,2
Hezbollah,1991,110,3,6,14
New People's Army (NPA),1991,160,2,5,3
African National Congress (South Africa),1991,183,2,5,2
Liberation Tigers of Tamil Eelam (LTTE),1991,186,2,5,4
Corsican National Liberation Front (FLNC),1991,69,3,6,1
Liberation Tigers of Tamil Eelam (LTTE),1991,186,2,5,4
